date,dexalus,dexcaus,dexjpus,dexszus,dexukus
2021-01-28,1.3031013812874641,1.2812,104.31,0.8887,0.7284912945290304
2021-01-29,1.3053126223730585,1.2776,104.64,0.8905,0.7287036362311448
2021-02-01,1.3114754098360657,1.2826,104.97,0.8965,0.7314218841427735
2021-02-02,1.3182177695755337,1.2815,105.09,0.8987,0.732922896511287
2021-02-03,1.311991603253739,1.2765,105.05,0.8993,0.732493407559332
2021-02-04,1.3159626266614028,1.283,105.43,0.9031,0.7317965605561654
2021-02-05,1.3061650992685476,1.2781,105.44,0.8996,0.729181857955374
2021-02-08,1.2983640612827838,1.2755,105.19,0.8986,0.7279079924297569
2021-02-09,1.294665976178146,1.2713,104.62,0.893,0.7248477819657873
2021-02-10,1.292824822236587,1.2678,104.67,0.8891,0.7220216606498195
2021-02-11,1.289324394017535,1.2689,104.75,0.8907,0.7234843003906815
2021-02-12,1.2883277505797475,1.2694,104.94,0.8911,0.7217610970768675
2021-02-15,,,,,
2021-02-16,1.2888258796236627,1.2694,105.88,0.8923,0.7189072609633357
2021-02-17,1.2919896640826873,1.2712,105.83,0.8985,0.7221259387637203
2021-02-18,1.2903225806451613,1.2706,105.69,0.8968,0.7165376898824879
2021-02-19,1.2701638511367968,1.2596,105.58,0.8948,0.7130124777183601
2021-02-22,1.2632642748863063,1.2606,105.06,0.8958,0.7103786318107551
2021-02-23,1.2655024044545684,1.261,105.21,0.9022,0.709622480840193
2021-02-24,1.260239445494644,1.2537,105.91,0.9074,0.7089181908407769
2021-02-25,1.257387149503332,1.2528,106.22,0.9033,0.7089684509039347
2021-02-26,1.2953367875647668,1.2698,106.64,0.9092,0.7170000717000071
2021-03-01,1.286008230452675,1.2652,106.68,0.9138,0.7174630506528914
2021-03-02,1.2784454103809768,1.2612,106.75,0.9141,0.7162297665090961
2021-03-03,1.2807377049180326,1.2611,106.92,0.918,0.7154099298898269
2021-03-04,1.2809017548354042,1.2584,107.58,0.9257,0.7143367383384528
2021-03-05,1.3046314416177431,1.2666,108.24,0.9305,0.7237461098646595
2021-03-08,1.3066771200836274,1.2672,108.92,0.9355,0.724112961622013
2021-03-09,1.2988699831146902,1.2652,108.64,0.9292,0.7202535292422932
2021-03-10,1.2951690195570522,1.2641,108.58,0.9317,0.7194762213108857
2021-03-11,1.2865045670912132,1.2558,108.44,0.9244,0.715307582260372
2021-03-12,1.2866700977869274,1.2471,108.87,0.9281,0.718132854578097
2021-03-15,1.2938284383490748,1.249,109.11,0.9283,0.7211885186787826
2021-03-16,1.2906556530717603,1.2451,109.01,0.9261,0.7198387561186295
2021-03-17,1.2971851083149566,1.2475,109.22,0.9276,0.7200460829493087
2021-03-18,1.2828736369467608,1.2434,108.97,0.9281,0.7174630506528914
2021-03-19,1.2909888974954815,1.2511,108.85,0.9301,0.720876585928489
2021-03-22,1.2903225806451613,1.2528,108.67,0.9233,0.7217090069284064
2021-03-23,1.3017443374121322,1.2548,108.61,0.9327,0.7249003262051468
2021-03-24,1.311991603253739,1.2551,108.81,0.9355,0.7287036362311448
2021-03-25,1.321003963011889,1.2613,109.13,0.9393,0.7287567409998542
2021-03-26,1.310787783457858,1.2577,109.55,0.9398,0.724952878062926
2021-03-29,1.3083867591259977,1.2592,109.73,0.9381,0.7250054375407816
2021-03-30,1.3145786775338504,1.2626,110.19,0.9427,0.7283851700779372
